id,name,address,lat,lng,genre,genre_code,budget_code,budget_name,budget_average,capacity,access,url,photo
J000006171,コーンバレー 渋谷 Corn Barley Shibuya,東京都渋谷区道玄坂１－３－６　香山ビル３～４F,35.6579887518,139.699932236,居酒屋,G001,B003,3001～4000円,単品料理550円～/ドリンク550円～/コース3800円～,100,渋谷駅徒歩1分⇒渋谷西口よりセブンイレブンのある、渋谷中央街モニターガードをくぐり直進。右手側ビル3Ｆになります。,https://www.hotpepper.jp/strJ000006171/?vos=nhppalsa000016,https://imgfp.hotp.jp/IMGH/08/68/P022580868/P022580868_238.jpg
J004068056,鍋吉 渋谷本店,東京都渋谷区道玄坂２-28-3 渋谷ダイヤモンドビル1階,35.6590149556,139.6973301931,和食,G004,B008,4001～5000円,和牛のしゃぶしゃぶ＆すき焼き食べ放題5980円～ご用意,70,渋谷駅A0出口より徒歩1分 渋谷ダイヤモンドビル1階団体貸し切り承り中！！,https://www.hotpepper.jp/strJ004068056/?vos=nhppalsa000016,https://imgfp.hotp.jp/IMGH/10/18/P047111018/P047111018_238.jpg
J004026655,東京小鉄 渋谷店,東京都渋谷区道玄坂１-6-10　早川亭ビル1階,35.6579959454,139.6988973235,居酒屋,G001,B003,3001～4000円,3000円,130,渋谷駅徒歩1分,https://www.hotpepper.jp/strJ004026655/?vos=nhppalsa000016,https://imgfp.hotp.jp/IMGH/26/97/P045982697/P045982697_238.jpg
J000012394,とんちゃん 渋谷店,東京都渋谷区道玄坂２－６－２　藤山恒産道玄坂ビル２Ｆ・３Ｆ,35.6591580448,139.6991883631,居酒屋,G001,B002,2001～3000円,2000円～2999円(税込),65,渋谷駅 各線徒歩１分/渋谷駅から201m,https://www.hotpepper.jp/strJ000012394/?vos=nhppalsa000016,https://imgfp.hotp.jp/IMGH/86/23/P049248623/P049248623_238.jpg
J003298806,生ビール190円 焼き鳥70円 飲み放題398円 大衆酒泉テルマエ 渋谷道玄坂泉,東京都渋谷区道玄坂２丁目２９ー１１ 第９２東京ビル １Ｆ,35.6594365903,139.6979065162,居酒屋,G001,B002,2001～3000円,"2,500円（通常平均） 3,000円（宴会平均）",68,東京メトロ，東急渋谷駅Ａ０出口より徒歩約3分/京王井の頭線渋谷駅井の頭線西口より徒歩約4分,https://www.hotpepper.jp/strJ003298806/?vos=nhppalsa000016,https://imgfp.hotp.jp/IMGH/38/74/P047603874/P047603874_238.jpg
J000962235,貸切 パーティ ICON アイコン,東京都渋谷区道玄坂２－23－12 フォンティスビル３Ｆ,35.659998141,139.695933883,カラオケ・パーティ,G011,B003,3001～4000円,飲み放題付プラン3500円～/コース料理付プラン4000円～,100,ＪＲ渋谷駅 ハチ公口 徒歩5分東急東横線渋谷駅 徒歩5分京王井の頭線渋谷駅 徒歩5分地下鉄渋谷駅 徒歩5分,https://www.hotpepper.jp/strJ000962235/?vos=nhppalsa000016,https://imgfp.hotp.jp/IMGH/62/24/P034936224/P034936224_238.jpg
J002648350,焼き鳥&野菜巻き食べ放題 個室居酒屋 鳥一王 渋谷駅前店,東京都渋谷区道玄坂１－5－9　レンガビル　3F,35.6582503758,139.6994375452,和食,G004,B002,2001～3000円,3000円（焼き鳥&野菜巻き食べ放題の個室居酒屋）,100,渋谷駅徒歩1分（焼き鳥&野菜巻き食べ放題の個室居酒屋）,https://www.hotpepper.jp/strJ002648350/?vos=nhppalsa000016,https://imgfp.hotp.jp/IMGH/35/53/P040173553/P040173553_238.jpg
J004068078,SPICE&FUSION KATL カタル,東京都渋谷区道玄坂１丁目11-1　第二大番ビル203,35.6577268016,139.698618469,居酒屋,G001,B008,4001～5000円,ディナー：4000円～,40,京王井の頭線渋谷駅井の頭線西口より徒歩約2分/東京メトロ銀座線渋谷駅井の頭線出口(スクランブル交差点)より徒歩約4分,https://www.hotpepper.jp/strJ004068078/?vos=nhppalsa000016,https://imgfp.hotp.jp/IMGH/17/35/P048891735/P048891735_238.jpg
J003298797,やきとり家 すみれ 渋谷道玄坂店,東京都渋谷区道玄坂２-28-4 井門ビル1F,35.6590580083,139.6974054628,居酒屋,G001,B003,3001～4000円,2800円 ,75,東急東横線/JR山手線 渋谷駅 A0出口徒歩1分　渋谷駅から377m,https://www.hotpepper.jp/strJ003298797/?vos=nhppalsa000016,https://imgfp.hotp.jp/IMGH/78/12/P049267812/P049267812_238.jpg
J000740579,和牛焼肉食べ放題 肉屋の台所 渋谷道玄坂店,東京都渋谷区道玄坂２－２５－１７　３Ｆ,35.6595537919,139.6976309793,焼肉・ホルモン,G008,B003,3001～4000円,4000円【クーポンアルコール飲み放題無料！時間外宴会OKです！】,70,渋谷駅近徒歩5分◆和牛焼肉食べ飲み放題/各種ご宴会にぜひご利用ください！A4A5黒毛和牛食べ放題あり,https://www.hotpepper.jp/strJ000740579/?vos=nhppalsa000016,https://imgfp.hotp.jp/IMGH/80/13/P048268013/P048268013_238.jpg
